item_id,item_name,category,base_unit,pack_unit,base_units_per_pack,current_stock_base,reorder_level_base,target_stock_base,supplier_lead_days_typical,last_updated
INV-001,Portland cement 32.5N,cement,kg,50kg bag,50,1800,4000,12000,3,2026-08-28
INV-002,Portland cement 42.5N,cement,kg,50kg bag,50,6500,3000,10000,3,2026-08-28
INV-003,Deformed reinforcement bar Y12,steel,piece,12m length,1,140,200,600,5,2026-08-27
INV-004,Deformed reinforcement bar Y16,steel,piece,12m length,1,310,150,500,5,2026-08-27
INV-005,Binding wire 1.6mm,steel,kg,25kg roll,25,75,150,450,4,2026-08-26
INV-006,Hardcore aggregate,aggregate,tonne,tonne,1,9,20,60,2,2026-08-29
INV-007,River sand,aggregate,tonne,tonne,1,34,15,50,2,2026-08-29
INV-008,Hoop iron 30mm,steel,kg,20kg roll,20,18,40,120,6,2026-08-25
INV-009,Timber 4x2 eucalyptus,timber,piece,piece,1,220,120,400,4,2026-08-26
INV-010,Roofing nails 3 inch,fixings,kg,10kg box,10,26,50,150,3,2026-08-28
INV-011,Common nails 4 inch,fixings,kg,10kg box,10,64,40,120,3,2026-08-28
INV-012,PVC conduit 20mm,electrical,piece,3m length,1,95,150,450,7,2026-08-24
INV-013,Damp proof course 1m,waterproofing,roll,roll,1,7,15,40,5,2026-08-27
INV-014,Murram fill,aggregate,tonne,tonne,1,52,25,80,2,2026-08-29
INV-015,Cement mortar plasticiser,admixture,litre,20L drum,20,40,60,180,8,2026-08-22
